name,address,opening_hours,services
726,726Stores across MalaysiaSelect a StateJohorKedahKelantanKuala Lumpur/SelangorMelakaNegeri SembilanPahangPenangPerakPerlisSabahSarawakTerengganuSelect a StateJohorKedahKelantanKuala Lumpur/SelangorMelakaNegeri SembilanPahangPenangPerakPerlisSabahSarawakTerengganuSearch for:KELANTANTERENGGANUPAHANGJOHORNEGERI SEMBILANSARAWAKKEDAHPERLISPENANGPERAKKL/SELANGORMELAKASABAH,8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
Kuala Lumpur/Selangor,Kuala Lumpur/Selangor,8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
Kuala Lumpur/Selangor,Kuala Lumpur/Selangor,8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","ZUS Coffee – Bandar MenjalaraKuala Lumpur/Selangor,Store37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala LumpurZUS Coffee – Bandar MenjalaraDirection",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","Kuala Lumpur/Selangor,Store",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","ZUS Coffee – Jabatan Peguam Negara,  PutrajayaKuala Lumpur/Selangor,StoreBangunan Jabatan Peguam Negara AGC Persint 4, Lot 1, Level 1, Putrajaya 62100 MalaysiaZUS Coffee – Jabatan Peguam Negara,  PutrajayaDirection",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","Kuala Lumpur/Selangor,Store",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","ZUS Coffee – LSH33, SentulKuala Lumpur/Selangor,StoreG-11, Ground Floor, Laman Seri Harmoni (LSH33), No. 3, Jalan Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala LumpurZUS Coffee – LSH33, SentulDirection",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","Kuala Lumpur/Selangor,Store",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","ZUS Coffee – Bandar Tun Hussein Onn, CherasKuala Lumpur/Selangor,StoreNo 48A Jalan Suarasa 8/4, Bandar Tun Hussein Onn, 43200 Cheras, SelangorZUS Coffee – Bandar Tun Hussein Onn, CherasDirection",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","Kuala Lumpur/Selangor,Store",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","ZUS Coffee – AEON BiG Wangsa MajuKuala Lumpur/Selangor,StoreLot F1.11 (First Floor), AEON BiG Wangsa Maju, 6, Jalan 8/27A, Section 5, Wangsa Maju, 53300, Kuala Lumpur, Wilayah PersekutuanZUS Coffee – AEON BiG Wangsa MajuDirection",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
"Kuala Lumpur/Selangor,Store","Kuala Lumpur/Selangor,Store",8:00 AM - 10:00 PM,"Dine-in, Takeaway, Delivery"
